Time,Position y (m),Velocity y (m/s),Moving Average (Velocity) w/ 25 points,Acceleration (m/s^2),Moving Acceleration (m/s^2)
0.554166667,1.013620874,2.947743491,2.896772534,1.719014174,2.775811652
0.558333333,1.027246723,3.270203865,2.892948287,-0.91781921,2.407271219
0.5625,1.039072427,2.838168776,2.900405675,1.789773048,2.472717795
0.566666667,1.050465947,2.734444967,2.901026831,0.149077409,2.336333958
0.570833333,1.063084264,3.02839601,2.9101304,2.184856555,2.271004298
0.575,1.075897757,3.07523843,2.926589939,3.950289374,2.381923527
0.579166667,1.089290296,3.214209309,2.945966694,4.650421183,2.510759497
0.583333333,1.101793478,3.000763621,2.954649527,2.083880041,2.515221944
0.5875,1.114315795,3.005356073,2.970819054,3.880686324,2.649802594
0.591666667,1.127692373,3.210378648,2.983717766,3.09569089,2.604524925
0.595833333,1.140035919,2.96245113,2.981244807,-0.593510014,2.344561274
0.6,1.153463635,3.222651762,2.994314234,3.136662346,2.366283348
0.604166667,1.165113863,2.796054809,2.995290855,0.234389074,2.301621209
0.608333333,1.178540257,3.222334552,3.018459359,5.560441122,2.528737964
0.6125,1.191303657,3.063215969,3.020440539,0.475483115,2.216763982
0.616666667,1.204908839,3.265243823,3.025461017,1.204914738,2.026890584
0.620833333,1.217721746,3.075097459,3.031874893,1.5393302,1.972678241
0.625,1.231332168,3.266501266,3.040219372,2.002675046,1.928887963
0.629166667,1.24264413,2.714871101,3.02729727,-3.101304663,1.704750894
0.633333333,1.255069823,2.98216619,3.027862333,0.135615279,1.566443761
0.6375,1.268749915,3.283222121,3.03324475,1.291779969,1.544732456
0.641666667,1.281203395,2.988835125,3.039718328,1.553658805,1.670918451
0.645833333,1.294780613,3.258532346,3.05666089,4.066214761,1.828289401
0.65,1.306969781,2.925400324,3.048014441,-2.075147771,1.591274342
0.654166667,1.320975765,3.361436103,3.068516691,4.920540028,1.717504473
0.658333333,1.333169181,2.926419997,3.067663751,-0.204705543,1.640555684
0.6625,1.346574671,3.217317446,3.065548294,-0.507709619,1.656960068
0.666666667,1.358459727,2.852413416,3.06611808,0.136748544,1.590839088
0.670833333,1.372079173,3.268667147,3.087486967,5.128532927,1.790017308
0.675,1.384194828,2.907757237,3.082661416,-1.158132219,1.656297757
0.679166667,1.39860598,3.458676335,3.097998932,3.681003883,1.645526338
0.683333333,1.411827856,3.173250455,3.096360578,-0.393204993,1.443781291
0.6875,1.424853367,3.126122471,3.101374932,1.203444959,1.408563887
0.691666667,1.43807034,3.172073579,3.108043632,1.600488062,1.317355957
0.695833333,1.450887385,3.076090778,3.102672118,-1.289163552,1.141961779
0.7,1.464657513,3.304830781,3.116367304,3.28684465,1.297175966
0.704166667,1.477740518,3.139921133,3.113058078,-0.794214041,1.13994091
0.708333333,1.491303592,3.25513768,3.131421393,4.407195558,1.30685317
0.7125,1.503540031,2.936745592,3.119997835,-2.741654015,0.974769364
0.716666667,1.516977182,3.224916159,3.126465843,1.552321823,1.017842913
0.720833333,1.529270405,2.950373555,3.113871032,-3.022754575,0.84873614
0.725,1.542882421,3.266883691,3.121542481,1.841147827,0.860808845
0.729166667,1.55501853,2.912666188,3.107389078,-3.396816753,0.644829173
0.733333333,1.569315885,3.431365245,3.136048844,6.878343784,1.044015111
0.7375,1.581593115,2.946535302,3.134623608,-0.342056518,1.024908239
0.741666667,1.594934699,3.201980058,3.131373926,-0.7799238,0.942040088
0.745833333,1.607350712,2.979843155,3.131014247,-0.086322913,0.87644082
0.75,1.621087468,3.296821306,3.132545805,0.367574016,0.72849519
0.754166667,1.633260066,2.921423581,3.132386736,-0.03817673,0.809974031
0.758333333,1.647033815,3.305699899,3.130157287,-0.53506756,0.591749728
0.7625,1.659128639,2.902757675,3.129210795,-0.227158288,0.590851618
0.766666667,1.67292624,3.31142432,3.132975069,0.903425983,0.647297042
0.770833333,1.685047477,2.909096866,3.135242407,0.544161115,0.663593545
0.775,1.698787534,3.297613636,3.136400267,0.277886296,0.46956768
0.779166667,1.710798994,2.882750473,3.135399996,-0.240064935,0.506290371
0.783333333,1.724423575,3.269899364,3.127848918,-1.812258921,0.286559859
0.7875,1.737043782,3.028849663,3.122072886,-1.386247604,0.246838155
0.791666667,1.751112871,3.376581247,3.132091237,2.404404252,0.294876526
0.795833333,1.763536743,2.981729281,3.124477465,-1.827305265,0.157764793
0.8,1.777296887,3.302434553,3.133531216,2.17290024,0.296247345
0.804166667,1.789502079,2.929246093,3.118507829,-3.605613003,0.020549039
